用語,科目,出題回数（11回中）,解説
予報業務,一般知識,11,予報業務は、気象などの予報を反復・継続して行う業務である。目的や対象によって気象庁長官の許可が必要となる。
気圧,一般知識,11,気圧は、大気が単位面積に及ぼす力である。高度が上がるほど上にある空気の質量が減るため、通常は低下する。
気温,一般知識,11,気温は大気の温度を表す気象要素である。観測では日射や地面の影響を避け、通風された環境で測定する。
気象,一般知識,11,気象業務法上の気象は、電離層を除く大気の諸現象をいう。気圧、気温、風、雲などが含まれる。
気象予報士,一般知識,11,気象予報士は、予報業務において現象の予想を担当するための国家資格者である。試験合格後に気象庁長官の登録を受ける必要がある。
気象庁長官,一般知識,11,気象庁長官は、気象業務法に基づく許可、登録、検定、警報の通知などを所管する行政機関の長である。設問では誰が処分・届出・通知を行うかを区別する。
予報,一般知識,10,予報は、気象業務法では観測の成果に基づく現象の予想を発表することをいう。内部利用だけの予想と、不特定または多数への発表を区別する。
密度,一般知識,10,密度は単位体積当たりの質量である。大気では気圧が高いほど大きく、同じ気圧なら気温が高いほど小さい。
気象業務法,一般知識,10,気象業務法は、気象業務の健全な発達と公共の福祉への寄与を目的とする法律である。観測、予報、警報、気象予報士、測器検定などを定める。
観測,一般知識,10,観測は、気象業務法では自然科学的方法による現象の観察および測定をいう。単なる目視だけでなく、測器による測定も含む。
飽和水蒸気圧,一般知識,10,飽和水蒸気圧は、水蒸気と水または氷が平衡にあるときの水蒸気圧である。主に温度で決まり、温度が高いほど大きい。
オゾン,一般知識,9,オゾンは主に成層圏で紫外線を吸収し、大気を加熱する。生成域と濃度の極大域は一致せず、輸送の影響も受ける。
予報業務の許可,一般知識,9,予報業務の許可は、気象などの予報業務を行う者が原則として気象庁長官から受ける許可である。申請事項、変更手続、予報資料や要員が問われる。
太陽放射,一般知識,9,太陽放射は、太陽から地球へ届く電磁波エネルギーで、主に短波放射として扱う。可視域に多くのエネルギーを含む。
成層圏,一般知識,9,成層圏は対流圏界面の上にあり、オゾンによる紫外線吸収のため上部ほど高温となる。鉛直混合は対流圏より弱い。
紫外線,一般知識,9,紫外線は、可視光より波長が短い電磁波である。酸素やオゾンに吸収され、上層大気の加熱や光化学反応をもたらす。
二酸化炭素,一般知識,8,二酸化炭素は長波放射を吸収する温室効果気体である。濃度は窒素や酸素より小さいが、気候変動に重要な役割をもつ。
地衡風,一般知識,8,地衡風は、気圧傾度力とコリオリ力が釣り合った風である。北半球では低圧側を左に見て等圧線または等高度線に平行に吹く。
相対湿度,一般知識,8,相対湿度は、実際の水蒸気圧を同じ温度の飽和水蒸気圧で割った割合である。水蒸気量が同じでも気温が変われば値は変化する。
積乱雲,一般知識,8,積乱雲は、強い上昇流によって鉛直に発達する対流雲である。雷、短時間強雨、ひょう、突風などを伴う。
警報事項,一般知識,8,警報事項は、警報の対象となる現象、区域、期間など警戒すべき内容である。気象庁から関係機関へ通知される。
凝結,一般知識,7,凝結は、水蒸気が液体の水へ変化する相変化である。その際には潜熱が放出され、雲粒の生成や発達に関与する。
大気上端,一般知識,7,大気上端は、地球の放射収支を考える際に大気圏の上端として扱う境界である。入射太陽放射、反射短波放射、外向き長波放射の収支を評価する。
対流圏,一般知識,7,対流圏は地表から対流圏界面までの大気層で、気温は平均的に高度とともに低下する。雲や降水など日常の気象現象の大部分が生じる。
混合比,一般知識,7,混合比は、乾燥空気の質量に対する水蒸気の質量の比である。凝結や蒸発がなければ空気塊の移動でほぼ保存される。
温室効果,一般知識,7,温室効果は、大気が地表面からの長波放射を吸収・再放射し、地表付近を暖める働きである。水蒸気や二酸化炭素などが寄与する。
災害対策基本法,一般知識,7,災害対策基本法は、防災に関する国、地方公共団体、住民などの責務と基本制度を定める。防災計画、災害対策本部、避難指示などが規定される。
蒸発,一般知識,7,蒸発は、液体の水が水蒸気へ変化する相変化である。周囲から潜熱を奪うため、雨滴や地表面の蒸発は空気を冷却する。
衝突・併合,一般知識,7,衝突・併合は、落下速度の異なる雲粒や雨滴が衝突して一つになる成長過程である。暖かい雨の主要な降水粒子成長機構である。
降水量,一般知識,7,降水量は、一定時間の降水を地表の水平面にたまった水の深さに換算した量である。雪などの固体降水は融かした水の深さで表す。
静力学平衡,一般知識,7,静力学平衡は、鉛直気圧傾度力と重力が釣り合った状態である。大気の気圧と高度の関係を考える基礎となる。
下降流,一般知識,6,下降流は、空気が下向きに移動する流れである。下降する空気は圧縮されて昇温するが、降水粒子の蒸発や融解によって冷却される場合もある。
乾燥断熱減率,一般知識,6,乾燥断熱減率は、未飽和空気塊が断熱的に上昇するときの気温低下率で、約10°C/kmである。下降時には同じ割合で昇温する。
対流圏界面,一般知識,6,対流圏界面は対流圏と成層圏の境界で、気温減率によって定義される。一般に低緯度ほど高く、気温も低い。
水蒸気圧,一般知識,6,水蒸気圧は、混合気体中で水蒸気が担う分圧である。相対湿度や混合比を求める基礎量となる。
